Organization_Site,Country,Data_type,Data_level,Age_range_low,Age_range_high,Numerator,Denominator,Percent,Estimates,TB_Type1,TB_Type2,TB_Type3,TB_Type4,Gender,Population1,Population2,Population3,CDR,Comments,Data_Year_Min,Data_Year_Max,Data_source
South Africa (National),South Africa,TB incidence,National,0,100,11580,1153387,0.01004,,"Definite (e.g., culture positive)",,,,Both,Community,,,,"
Northern Cape province
 ",2012,2012,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis 
"
South Africa (National),South Africa,TB incidence,National,0,100,62424,5050485,0.01236,,"Definite (e.g., culture positive)",,,,Both,Community,,,,"
Western Cape province",2004,2004,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis 
"
South Africa (National),South Africa,TB incidence,National,0,100,58059,5151642,0.01127,,"Definite (e.g., culture positive)",,,,Both,Community,,,,"
Western Cape province
 ",2005,2005,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis 
"
South Africa (National),South Africa,TB incidence,National,0,100,65495,5256421,0.01246,,"Definite (e.g., culture positive)",,,,Both,Community,,,,"
Western Cape province
 ",2006,2006,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis 
"
South Africa (National),South Africa,TB incidence,National,0,100,65171,5359457,0.01216,,"Definite (e.g., culture positive)",,,,Both,Community,,,,"
Western Cape province
 ",2007,2007,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis 
"
South Africa (National),South Africa,TB incidence,National,0,100,61890,5467315,0.01132,,"Definite (e.g., culture positive)",,,,Both,Community,,,,"
Western Cape province
 ",2008,2008,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis 
"
South Africa (National),South Africa,TB incidence,National,0,100,57451,5572357,0.01031,,"Definite (e.g., culture positive)",,,,Both,Community,,,,"
Western Cape province",2009,2009,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis 
"
South Africa (National),South Africa,TB incidence,National,0,100,56305,5681635,0.00991,,"Definite (e.g., culture positive)",,,,Both,Community,,,,"
Western Cape province
 ",2010,2010,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis 
"
South Africa (National),South Africa,TB incidence,National,0,100,54908,5791983,0.00948,,"Definite (e.g., culture positive)",,,,Both,Community,,,,"
Western Cape province
 ",2011,2012,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis 
"
South Africa (National),South Africa,TB incidence,National,0,100,52228,5901469,0.00885,,"Definite (e.g., culture positive)",,,,Both,Community,,,,"
Western Cape province
 ",2012,2012,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis 
"
South Africa (National),South Africa,TB incidence,National,0,14,3130,7825000,0.0004,,"Definite (e.g., culture positive)",,,,Male only,Community,,,,,2004,2004,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,TB incidence,National,0,14,4025,7740385,0.00052,,"Definite (e.g., culture positive)",,,,Male only,Community,,,,,2005,2005,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,TB incidence,National,0,14,4001,7845098,0.00051,,"Definite (e.g., culture positive)",,,,Male only,Community,,,,,2006,2006,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,TB incidence,National,0,14,4957,7745313,0.00064,,"Definite (e.g., culture positive)",,,,Male only,Community,,,,,2007,2007,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,TB incidence,National,0,14,5513,7764789,0.00071,,"Definite (e.g., culture positive)",,,,Male only,Community,,,,,2008,2008,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,TB incidence,National,0,14,5270,7750000,0.00068,,"Definite (e.g., culture positive)",,,,Male only,Community,,,,,2009,2009,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,TB incidence,National,0,14,5152,7806061,0.00066,,"Definite (e.g., culture positive)",,,,Male only,Community,,,,,2010,2010,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,TB incidence,National,0,14,5107,7737879,0.00066,,"Definite (e.g., culture positive)",,,,Male only,Community,,,,,2011,2011,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,TB incidence,National,0,14,4718,7734426,0.00061,,"Definite (e.g., culture positive)",,,,Male only,Community,,,,,2012,2012,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,TB incidence,National,0,14,3899,7645098,0.00051,,"Definite (e.g., culture positive)",,,,Female only,Community,,,,,2004,2004,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,TB incidence,National,0,14,5034,7744615,0.00065,,"Definite (e.g., culture positive)",,,,Female only,Community,,,,,2005,2005,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,TB incidence,National,0,14,5086,7706061,0.00066,,"Definite (e.g., culture positive)",,,,Female only,Community,,,,,2006,2006,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,TB incidence,National,0,14,5807,7742667,0.00075,,"Definite (e.g., culture positive)",,,,Female only,Community,,,,,2007,2007,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,TB incidence,National,0,14,6229,7690124,0.00081,,"Definite (e.g., culture positive)",,,,Female only,Community,,,,,2008,2008,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,TB incidence,National,0,14,6356,7751220,0.00082,,"Definite (e.g., culture positive)",,,,Female only,Community,,,,,2009,2009,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,TB incidence,National,0,14,5991,7680769,0.00078,,"Definite (e.g., culture positive)",,,,Female only,Community,,,,,2010,2010,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,TB incidence,National,0,14,5900,7662338,0.00077,,"Definite (e.g., culture positive)",,,,Female only,Community,,,,,2011,2011,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,TB incidence,National,0,14,5268,7747059,0.00068,,"Definite (e.g., culture positive)",,,,Female only,Community,,,,,2012,2012,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,TB incidence,National,15,24,17747,4573969,0.00388,,"Definite (e.g., culture positive)",,,,Male only,Community,,,,,2004,2004,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,TB incidence,National,15,24,18997,4644743,0.00409,,"Definite (e.g., culture positive)",,,,Male only,Community,,,,,2005,2005,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis"
South Africa (National),South Africa,TB incidence,National,15,24,19829,4721191,0.0042,,"Definite (e.g., culture positive)",,,,Male only,Community,,,,,2006,2006,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,TB incidence,National,15,24,19526,4785784,0.00408,,"Definite (e.g., culture positive)",,,,Male only,Community,,,,,2007,2007,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,TB incidence,National,15,24,19599,4863275,0.00403,,"Definite (e.g., culture positive)",,,,Male only,Community,,,,,2008,2008,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,TB incidence,National,15,24,20042,4936453,0.00406,,"Definite (e.g., culture positive)",,,,Male only,Community,,,,,2009,2009,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,TB incidence,National,15,24,19373,5005943,0.00387,,"Definite (e.g., culture positive)",,,,Male only,Community,,,,,2010,2010,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,TB incidence,National,15,24,19006,5054787,0.00376,,"Definite (e.g., culture positive)",,,,Male only,Community,,,,,2011,2011,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis"
South Africa (National),South Africa,TB incidence,National,15,24,18363,5100833,0.0036,,"Definite (e.g., culture positive)",,,,Male only,Community,,,,,2012,2012,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis"
South Africa (National),South Africa,TB incidence,National,15,24,25917,4729380,0.00548,,"Definite (e.g., culture positive)",,,,Female only,Community,,,,,2004,2004,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,TB incidence,National,15,24,28611,4760566,0.00601,,"Definite (e.g., culture positive)",,,,Female only,Community,,,,,2005,2005,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,TB incidence,National,15,24,30030,4797125,0.00626,,"Definite (e.g., culture positive)",,,,Female only,Community,,,,,2006,2006,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,TB incidence,National,15,24,30027,4835266,0.00621,,"Definite (e.g., culture positive)",,,,Female only,Community,,,,,2007,2007,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,TB incidence,National,15,24,30727,4869572,0.00631,,"Definite (e.g., culture positive)",,,,Female only,Community,,,,,2008,2008,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,TB incidence,National,15,24,30540,4902087,0.00623,,"Definite (e.g., culture positive)",,,,Female only,Community,,,,,2009,2009,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,TB incidence,National,15,24,29608,4934667,0.006,,"Definite (e.g., culture positive)",,,,Female only,Community,,,,,2010,2010,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,TB incidence,National,15,24,28065,4984902,0.00563,,"Definite (e.g., culture positive)",,,,Female only,Community,,,,,2011,2011,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,TB incidence,National,15,24,26194,5037308,0.0052,,"Definite (e.g., culture positive)",,,,Female only,Community,,,,,2012,2012,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,TB incidence,National,25,44,91868,6686172,0.01374,,"Definite (e.g., culture positive)",,,,Male only,Community,,,,,2004,2004,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,TB incidence,National,25,44,95886,6810085,0.01408,,"Definite (e.g., culture positive)",,,,Male only,Community,,,,,2005,2005,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,TB incidence,National,25,44,104320,6940785,0.01503,,"Definite (e.g., culture positive)",,,,Male only,Community,,,,,2006,2006,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis"
South Africa (National),South Africa,TB incidence,National,25,44,104618,7083142,0.01477,,"Definite (e.g., culture positive)",,,,Male only,Community,,,,,2007,2007,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,TB incidence,National,25,44,109868,7242452,0.01517,,"Definite (e.g., culture positive)",,,,Male only,Community,,,,,2008,2008,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,TB incidence,National,25,44,108519,7407440,0.01465,,"Definite (e.g., culture positive)",,,,Male only,Community,,,,,2009,2009,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,TB incidence,National,25,44,104980,7574315,0.01386,,"Definite (e.g., culture positive)",,,,Male only,Community,,,,,2010,2010,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,TB incidence,National,25,44,102625,7768736,0.01321,,"Definite (e.g., culture positive)",,,,Male only,Community,,,,,2011,2011,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,TB incidence,National,25,44,100205,7978105,0.01256,,"Definite (e.g., culture positive)",,,,Male only,Community,,,,,2012,2012,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,TB incidence,National,25,44,64288,7127273,0.00902,,"Definite (e.g., culture positive)",,,,Female only,Community,,,,,2004,2004,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,TB incidence,National,25,44,74293,7219922,0.01029,,"Definite (e.g., culture positive)",,,,Female only,Community,,,,,2005,2005,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,TB incidence,National,25,44,84280,7322328,0.01151,,"Definite (e.g., culture positive)",,,,Female only,Community,,,,,2006,2006,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,TB incidence,National,25,44,86981,7427925,0.01171,,"Definite (e.g., culture positive)",,,,Female only,Community,,,,,2007,2007,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,TB incidence,National,25,44,94543,7551358,0.01252,,"Definite (e.g., culture positive)",,,,Female only,Community,,,,,2008,2008,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,TB incidence,National,25,44,92976,7683967,0.0121,,"Definite (e.g., culture positive)",,,,Female only,Community,,,,,2009,2009,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,TB incidence,National,25,44,91943,7818282,0.01176,,"Definite (e.g., culture positive)",,,,Female only,Community,,,,,2010,2010,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,TB incidence,National,25,44,88939,7940982,0.0112,,"Definite (e.g., culture positive)",,,,Female only,Community,,,,,2011,2011,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis"
South Africa (National),South Africa,TB incidence,National,25,44,80903,8074152,0.01002,,"Definite (e.g., culture positive)",,,,Female only,Community,,,,,2012,2012,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,TB incidence,National,45,64,37568,2976862,0.01262,,"Definite (e.g., culture positive)",,,,Male only,Community,,,,,2004,2004,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis"
South Africa (National),South Africa,TB incidence,National,65,100,3759,725676,0.00518,,"Definite (e.g., culture positive)",,,,Male only,Community,,,,,2004,2004,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis"
South Africa (National),South Africa,TB incidence,National,45,64,40166,3061433,0.01312,,"Definite (e.g., culture positive)",,,,Male only,Community,,,,,2005,2005,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,TB incidence,National,65,100,4370,752152,0.00581,,"Definite (e.g., culture positive)",,,,Male only,Community,,,,,2005,2005,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,TB incidence,National,45,64,44507,3147596,0.01414,,"Definite (e.g., culture positive)",,,,Male only,Community,,,,,2006,2006,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,TB incidence,National,65,100,4879,776911,0.00628,,"Definite (e.g., culture positive)",,,,Male only,Community,,,,,2006,2006,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,TB incidence,National,45,64,46531,3235814,0.01438,,"Definite (e.g., culture positive)",,,,Male only,Community,,,,,2007,2007,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,TB incidence,National,65,100,5189,800772,0.00648,,"Definite (e.g., culture positive)",,,,Male only,Community,,,,,2007,2007,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,TB incidence,National,45,64,49381,3327561,0.01484,,"Definite (e.g., culture positive)",,,,Male only,Community,,,,,2008,2008,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,TB incidence,National,65,100,5646,825439,0.00684,,"Definite (e.g., culture positive)",,,,Male only,Community,,,,,2008,2008,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,TB incidence,National,45,64,49760,3417582,0.01456,,"Definite (e.g., culture positive)",,,,Male only,Community,,,,,2009,2009,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,TB incidence,National,65,100,5670,850075,0.00667,,"Definite (e.g., culture positive)",,,,Male only,Community,,,,,2009,2009,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,TB incidence,National,45,64,47957,3508193,0.01367,,"Definite (e.g., culture positive)",,,,Male only,Community,,,,,2010,2010,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,TB incidence,National,65,100,5601,875156,0.0064,,"Definite (e.g., culture positive)",,,,Male only,Community,,,,,2010,2010,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,TB incidence,National,45,64,47276,3595133,0.01315,,"Definite (e.g., culture positive)",,,,Male only,Community,,,,,2011,2011,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,TB incidence,National,65,100,5552,904235,0.00614,,"Definite (e.g., culture positive)",,,,Male only,Community,,,,,2011,2011,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,TB incidence,National,45,64,45302,3683089,0.0123,,"Definite (e.g., culture positive)",,,,Male only,Community,,,,,2012,2012,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,TB incidence,National,65,100,5549,937331,0.00592,,"Definite (e.g., culture positive)",,,,Male only,Community,,,,,2012,2012,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,TB incidence,National,45,64,16020,3482609,0.0046,,"Definite (e.g., culture positive)",,,,Female only,Community,,,,,2004,2004,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,TB incidence,National,65,100,2484,1287047,0.00193,,"Definite (e.g., culture positive)",,,,Female only,Community,,,,,2004,2004,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,TB incidence,National,45,64,19530,3590074,0.00544,,"Definite (e.g., culture positive)",,,,Female only,Community,,,,,2005,2005,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,TB incidence,National,65,100,3088,1331035,0.00232,,"Definite (e.g., culture positive)",,,,Female only,Community,,,,,2005,2005,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,TB incidence,National,45,64,23612,3695149,0.00639,,"Definite (e.g., culture positive)",,,,Female only,Community,,,,,2006,2006,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,TB incidence,National,65,100,3705,1382463,0.00268,,"Definite (e.g., culture positive)",,,,Female only,Community,,,,,2006,2006,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,TB incidence,National,45,64,25315,3806767,0.00665,,"Definite (e.g., culture positive)",,,,Female only,Community,,,,,2007,2007,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,TB incidence,National,65,100,3942,1428261,0.00276,,"Definite (e.g., culture positive)",,,,Female only,Community,,,,,2007,2007,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,TB incidence,National,45,64,28212,3912899,0.00721,,"Definite (e.g., culture positive)",,,,Female only,Community,,,,,2008,2008,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,TB incidence,National,65,100,4463,1477815,0.00302,,"Definite (e.g., culture positive)",,,,Female only,Community,,,,,2008,2008,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,TB incidence,National,45,64,28620,4019663,0.00712,,"Definite (e.g., culture positive)",,,,Female only,Community,,,,,2009,2009,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,TB incidence,National,65,100,4803,1529618,0.00314,,"Definite (e.g., culture positive)",,,,Female only,Community,,,,,2009,2009,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,TB incidence,National,45,64,28538,4118038,0.00693,,"Definite (e.g., culture positive)",,,,Female only,Community,,,,,2010,2010,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,TB incidence,National,65,100,4953,1582428,0.00313,,"Definite (e.g., culture positive)",,,,Female only,Community,,,,,2010,2010,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,TB incidence,National,45,64,28180,4218563,0.00668,,"Definite (e.g., culture positive)",,,,Female only,Community,,,,,2011,2011,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,TB incidence,National,65,100,4955,1640729,0.00302,,"Definite (e.g., culture positive)",,,,Female only,Community,,,,,2011,2011,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,TB incidence,National,45,64,25549,4308432,0.00593,,"Definite (e.g., culture positive)",,,,Female only,Community,,,,,2012,2012,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
South Africa (National),South Africa,TB incidence,National,65,100,4776,1699644,0.00281,,"Definite (e.g., culture positive)",,,,Female only,Community,,,,,2012,2012,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
"
Botswana (National),Botswana,TB incidence,National,0,4,252,160351,0.00157,Denominator estimated from percent and numerator,Registered/notified,,,,Male only,Community,,,0.7,"
",2009,2009,"
CTU of Gaborone/Molepole site presentation"
