Organization_Site,Country,Data_type,Data_level,Age_range_low,Age_range_high,Numerator,Denominator,Percent,Estimates,TB Type,Gender,Population,CDR,Comments,Data_Year_Min,Data_Year_Max,Data_source
South Africa,South Africa,TB incidence,National,0,100,"22,360","5,261,177",0.0043,,"Definite (e.g., culture positive)",Both,Community,,"
Limpopo
 ",2009,2009,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis ?
?"
South Africa,South Africa,TB incidence,National,0,100,"21,780","5,325,183",0.0041,,"Definite (e.g., culture positive)",Both,Community,,"
?Limpopo
 ",2010,2010,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis ?
?"
South Africa,South Africa,TB incidence,National,0,100,"21,938","5,390,172",0.0041,,"Definite (e.g., culture positive)",Both,Community,,"
?Limpopo
 ",2011,2011,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis ?
?"
South Africa,South Africa,TB incidence,National,0,100,"22,499","5,447,700",0.0041,,"Definite (e.g., culture positive)",Both,Community,,"
?Limpopo",2012,2012,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis ?
?"
South Africa,South Africa,TB incidence,National,0,100,"17,537","3,661,169",0.0048,,"Definite (e.g., culture positive)",Both,Community,,"
?Mpumalanga province",2004,2004,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis ?
?"
South Africa,South Africa,TB incidence,National,0,100,"17,849","3,710,811",0.0048,,"Definite (e.g., culture positive)",Both,Community,,"
?Mpumalanga province",2005,2005,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis ?
?"
South Africa,South Africa,TB incidence,National,0,100,"20,545","3,762,821",0.0055,,"Definite (e.g., culture positive)",Both,Community,,"
?Mpumalanga province",2006,2006,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis ?
?"
South Africa,South Africa,TB incidence,National,0,100,"23,840","3,814,400",0.0063,,"Definite (e.g., culture positive)",Both,Community,,"
?Mpumalanga province
 ",2007,2007,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis ?"
South Africa,South Africa,TB incidence,National,0,100,"28,114","3,867,125",0.0073,,"Definite (e.g., culture positive)",Both,Community,,"
?Mpumalanga province",2008,2008,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis ?
?"
South Africa,South Africa,TB incidence,National,0,100,"25,850","3,970,814",0.0065,,"Definite (e.g., culture positive)",Both,Community,,"
?Mpumalanga province
 ",2010,2010,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis ?
?"
South Africa,South Africa,TB incidence,National,0,100,"30,026","3,919,843",0.0077,,"Definite (e.g., culture positive)",Both,Community,,"
?Mpumalanga province",2009,2009,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis ?
?"
South Africa,South Africa,TB incidence,National,0,100,"27,570","4,024,818",0.0069,,"Definite (e.g., culture positive)",Both,Community,,"
?Mpumalanga province",2011,2011,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis ?
?"
South Africa,South Africa,TB incidence,National,0,100,"26,207","4,075,739",0.0064,,"Definite (e.g., culture positive)",Both,Community,,"
?Mpumalanga province",2012,2012,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis ?"
South Africa,South Africa,TB incidence,National,0,100,"16,571","3,180,614",0.0052,,"Definite (e.g., culture positive)",Both,Community,,"
?North West province",2004,2004,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis ?"
South Africa,South Africa,TB incidence,National,0,100,"24,614","3,221,728",0.0076,,"Definite (e.g., culture positive)",Both,Community,,"
?North West province
 ",2005,2005,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis ?"
South Africa,South Africa,TB incidence,National,0,100,"27,435","3,266,071",0.0084,,"Definite (e.g., culture positive)",Both,Community,,"
?North West province
 ",2006,2006,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis ?
?"
South Africa,South Africa,TB incidence,National,0,100,"25,434","3,311,719",0.0077,,"Definite (e.g., culture positive)",Both,Community,,"
?North West province
 ",2007,2007,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis ?
?"
South Africa,South Africa,TB incidence,National,0,100,"26,376","3,355,725",0.0079,,"Definite (e.g., culture positive)",Both,Community,,"
?North West province
 ",2008,2008,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis ?
?"
South Africa,South Africa,TB incidence,National,0,100,"24,741","3,403,164",0.0073,,"Definite (e.g., culture positive)",Both,Community,,"
?North West province
 ",2009,2009,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis ?
?"
South Africa,South Africa,TB incidence,National,0,100,"24,248","3,449,218",0.0070,,"Definite (e.g., culture positive)",Both,Community,,"
?North West province
 ",2010,2010,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis ?
?"
South Africa,South Africa,TB incidence,National,0,100,"21,731","3,499,356",0.0062,,"Definite (e.g., culture positive)",Both,Community,,"
North West province",2011,2011,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis ?
?"
South Africa,South Africa,TB incidence,National,0,100,"21,181","3,547,906",0.0060,,"Definite (e.g., culture positive)",Both,Community,,"
?North West province
 ",2012,2012,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis ?
?"
South Africa,South Africa,TB incidence,National,0,100,"12,889","1,074,979",0.0120,,"Definite (e.g., culture positive)",Both,Community,,"
?Northern Cape province
 ",2004,2004,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis ?
?"
South Africa,South Africa,TB incidence,National,0,100,"13,684","1,085,171",0.0126,,"Definite (e.g., culture positive)",Both,Community,,"
?Northern Cape province",2005,2005,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis ?
?"
South Africa,South Africa,TB incidence,National,0,100,"13,931","1,094,344",0.0127,,"Definite (e.g., culture positive)",Both,Community,,"
?Northern Cape province
 ",2006,2006,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis ?
?"
South Africa,South Africa,TB incidence,National,0,100,"12,835","1,104,561",0.0116,,"Definite (e.g., culture positive)",Both,Community,,"
?Northern Cape province
 ",2007,2007,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis ?
?"
South Africa,South Africa,TB incidence,National,0,100,"13,345","1,113,940",0.0120,,"Definite (e.g., culture positive)",Both,Community,,"
?Northern Cape province
 ",2008,2008,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis ?
?"
South Africa,South Africa,TB incidence,National,0,100,"13,243","1,124,194",0.0118,,"Definite (e.g., culture positive)",Both,Community,,"
?Northern Cape province
 ",2009,2009,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis ?
?"
South Africa,South Africa,TB incidence,National,0,100,"12,838","1,133,098",0.0113,,"Definite (e.g., culture positive)",Both,Community,,"
?Northern Cape province
 ",2010,2010,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis ?
?"
South Africa,South Africa,TB incidence,National,0,100,"13,417","1,142,845",0.0117,,"Definite (e.g., culture positive)",Both,Community,,"
?Northern Cape province
 ",2011,2011,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis ?
?"
South Africa,South Africa,TB incidence,National,0,100,"11,580","1,153,387",0.0100,,"Definite (e.g., culture positive)",Both,Community,,"
?Northern Cape province
 ",2012,2012,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis ?
?"
South Africa,South Africa,TB incidence,National,0,100,"62,424","5,050,485",0.0124,,"Definite (e.g., culture positive)",Both,Community,,"
?Western Cape province",2004,2004,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis ?
?"
South Africa,South Africa,TB incidence,National,0,100,"58,059","5,151,642",0.0113,,"Definite (e.g., culture positive)",Both,Community,,"
?Western Cape province
 ",2005,2005,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis ?
?"
South Africa,South Africa,TB incidence,National,0,100,"65,495","5,256,421",0.0125,,"Definite (e.g., culture positive)",Both,Community,,"
?Western Cape province
 ",2006,2006,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis ?
?"
South Africa,South Africa,TB incidence,National,0,100,"65,171","5,359,457",0.0122,,"Definite (e.g., culture positive)",Both,Community,,"
?Western Cape province
 ",2007,2007,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis ?
?"
South Africa,South Africa,TB incidence,National,0,100,"61,890","5,467,315",0.0113,,"Definite (e.g., culture positive)",Both,Community,,"
?Western Cape province
 ",2008,2008,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis ?
?"
South Africa,South Africa,TB incidence,National,0,100,"57,451","5,572,357",0.0103,,"Definite (e.g., culture positive)",Both,Community,,"
Western Cape province",2009,2009,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis ?
?"
South Africa,South Africa,TB incidence,National,0,100,"56,305","5,681,635",0.0099,,"Definite (e.g., culture positive)",Both,Community,,"
?Western Cape province
 ",2010,2010,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis ?
?"
South Africa,South Africa,TB incidence,National,0,100,"54,908","5,791,983",0.0095,,"Definite (e.g., culture positive)",Both,Community,,"
?Western Cape province
 ",2011,2012,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis ?
?"
South Africa,South Africa,TB incidence,National,0,100,"52,228","5,901,469",0.0089,,"Definite (e.g., culture positive)",Both,Community,,"
?Western Cape province
 ",2012,2012,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis ?
?"
South Africa,South Africa,TB incidence,National,0,14,"3,130","7,825,000",0.0004,,"Definite (e.g., culture positive)",Male only,Community,,,2004,2004,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,TB incidence,National,0,14,"4,025","7,740,385",0.0005,,"Definite (e.g., culture positive)",Male only,Community,,,2005,2005,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,TB incidence,National,0,14,"4,001","7,845,098",0.0005,,"Definite (e.g., culture positive)",Male only,Community,,,2006,2006,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,TB incidence,National,0,14,"4,957","7,745,313",0.0006,,"Definite (e.g., culture positive)",Male only,Community,,,2007,2007,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,TB incidence,National,0,14,"5,513","7,764,789",0.0007,,"Definite (e.g., culture positive)",Male only,Community,,,2008,2008,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,TB incidence,National,0,14,"5,270","7,750,000",0.0007,,"Definite (e.g., culture positive)",Male only,Community,,,2009,2009,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,TB incidence,National,0,14,"5,152","7,806,061",0.0007,,"Definite (e.g., culture positive)",Male only,Community,,,2010,2010,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,TB incidence,National,0,14,"5,107","7,737,879",0.0007,,"Definite (e.g., culture positive)",Male only,Community,,,2011,2011,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,TB incidence,National,0,14,"4,718","7,734,426",0.0006,,"Definite (e.g., culture positive)",Male only,Community,,,2012,2012,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,TB incidence,National,0,14,"3,899","7,645,098",0.0005,,"Definite (e.g., culture positive)",Female only,Community,,,2004,2004,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,TB incidence,National,0,14,"5,034","7,744,615",0.0007,,"Definite (e.g., culture positive)",Female only,Community,,,2005,2005,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,TB incidence,National,0,14,"5,086","7,706,061",0.0007,,"Definite (e.g., culture positive)",Female only,Community,,,2006,2006,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,TB incidence,National,0,14,"5,807","7,742,667",0.0008,,"Definite (e.g., culture positive)",Female only,Community,,,2007,2007,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,TB incidence,National,0,14,"6,229","7,690,124",0.0008,,"Definite (e.g., culture positive)",Female only,Community,,,2008,2008,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,TB incidence,National,0,14,"6,356","7,751,220",0.0008,,"Definite (e.g., culture positive)",Female only,Community,,,2009,2009,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,TB incidence,National,0,14,"5,991","7,680,769",0.0008,,"Definite (e.g., culture positive)",Female only,Community,,,2010,2010,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,TB incidence,National,0,14,"5,900","7,662,338",0.0008,,"Definite (e.g., culture positive)",Female only,Community,,,2011,2011,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,TB incidence,National,0,14,"5,268","7,747,059",0.0007,,"Definite (e.g., culture positive)",Female only,Community,,,2012,2012,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,TB incidence,National,15,24,"17,747","4,573,969",0.0039,,"Definite (e.g., culture positive)",Male only,Community,,,2004,2004,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,TB incidence,National,15,24,"18,997","4,644,743",0.0041,,"Definite (e.g., culture positive)",Male only,Community,,,2005,2005,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis"
South Africa,South Africa,TB incidence,National,15,24,"19,829","4,721,191",0.0042,,"Definite (e.g., culture positive)",Male only,Community,,,2006,2006,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,TB incidence,National,15,24,"19,526","4,785,784",0.0041,,"Definite (e.g., culture positive)",Male only,Community,,,2007,2007,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,TB incidence,National,15,24,"19,599","4,863,275",0.0040,,"Definite (e.g., culture positive)",Male only,Community,,,2008,2008,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,TB incidence,National,15,24,"20,042","4,936,453",0.0041,,"Definite (e.g., culture positive)",Male only,Community,,,2009,2009,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,TB incidence,National,15,24,"19,373","5,005,943",0.0039,,"Definite (e.g., culture positive)",Male only,Community,,,2010,2010,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,TB incidence,National,15,24,"19,006","5,054,787",0.0038,,"Definite (e.g., culture positive)",Male only,Community,,,2011,2011,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis"
South Africa,South Africa,TB incidence,National,15,24,"18,363","5,100,833",0.0036,,"Definite (e.g., culture positive)",Male only,Community,,,2012,2012,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis"
South Africa,South Africa,TB incidence,National,15,24,"25,917","4,729,380",0.0055,,"Definite (e.g., culture positive)",Female only,Community,,,2004,2004,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,TB incidence,National,15,24,"28,611","4,760,566",0.0060,,"Definite (e.g., culture positive)",Female only,Community,,,2005,2005,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,TB incidence,National,15,24,"30,030","4,797,125",0.0063,,"Definite (e.g., culture positive)",Female only,Community,,,2006,2006,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,TB incidence,National,15,24,"30,027","4,835,266",0.0062,,"Definite (e.g., culture positive)",Female only,Community,,,2007,2007,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,TB incidence,National,15,24,"30,727","4,869,572",0.0063,,"Definite (e.g., culture positive)",Female only,Community,,,2008,2008,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,TB incidence,National,15,24,"30,540","4,902,087",0.0062,,"Definite (e.g., culture positive)",Female only,Community,,,2009,2009,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,TB incidence,National,15,24,"29,608","4,934,667",0.0060,,"Definite (e.g., culture positive)",Female only,Community,,,2010,2010,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,TB incidence,National,15,24,"28,065","4,984,902",0.0056,,"Definite (e.g., culture positive)",Female only,Community,,,2011,2011,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,TB incidence,National,15,24,"26,194","5,037,308",0.0052,,"Definite (e.g., culture positive)",Female only,Community,,,2012,2012,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,TB incidence,National,25,44,"91,868","6,686,172",0.0137,,"Definite (e.g., culture positive)",Male only,Community,,,2004,2004,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,TB incidence,National,25,44,"95,886","6,810,085",0.0141,,"Definite (e.g., culture positive)",Male only,Community,,,2005,2005,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,TB incidence,National,25,44,"104,320","6,940,785",0.0150,,"Definite (e.g., culture positive)",Male only,Community,,,2006,2006,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis"
South Africa,South Africa,TB incidence,National,25,44,"104,618","7,083,142",0.0148,,"Definite (e.g., culture positive)",Male only,Community,,,2007,2007,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,TB incidence,National,25,44,"109,868","7,242,452",0.0152,,"Definite (e.g., culture positive)",Male only,Community,,,2008,2008,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,TB incidence,National,25,44,"108,519","7,407,440",0.0147,,"Definite (e.g., culture positive)",Male only,Community,,,2009,2009,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,TB incidence,National,25,44,"104,980","7,574,315",0.0139,,"Definite (e.g., culture positive)",Male only,Community,,,2010,2010,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,TB incidence,National,25,44,"102,625","7,768,736",0.0132,,"Definite (e.g., culture positive)",Male only,Community,,,2011,2011,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,TB incidence,National,25,44,"100,205","7,978,105",0.0126,,"Definite (e.g., culture positive)",Male only,Community,,,2012,2012,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,TB incidence,National,25,44,"64,288","7,127,273",0.0090,,"Definite (e.g., culture positive)",Female only,Community,,,2004,2004,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,TB incidence,National,25,44,"74,293","7,219,922",0.0103,,"Definite (e.g., culture positive)",Female only,Community,,,2005,2005,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,TB incidence,National,25,44,"84,280","7,322,328",0.0115,,"Definite (e.g., culture positive)",Female only,Community,,,2006,2006,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,TB incidence,National,25,44,"86,981","7,427,925",0.0117,,"Definite (e.g., culture positive)",Female only,Community,,,2007,2007,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,TB incidence,National,25,44,"94,543","7,551,358",0.0125,,"Definite (e.g., culture positive)",Female only,Community,,,2008,2008,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,TB incidence,National,25,44,"92,976","7,683,967",0.0121,,"Definite (e.g., culture positive)",Female only,Community,,,2009,2009,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,TB incidence,National,25,44,"91,943","7,818,282",0.0118,,"Definite (e.g., culture positive)",Female only,Community,,,2010,2010,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,TB incidence,National,25,44,"88,939","7,940,982",0.0112,,"Definite (e.g., culture positive)",Female only,Community,,,2011,2011,"
??Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis"
South Africa,South Africa,TB incidence,National,25,44,"80,903","8,074,152",0.0100,,"Definite (e.g., culture positive)",Female only,Community,,,2012,2012,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,TB incidence,National,45,64,"37,568","2,976,862",0.0126,,"Definite (e.g., culture positive)",Male only,Community,,,2004,2004,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis"
South Africa,South Africa,TB incidence,National,65,100,"3,759","725,676",0.0052,,"Definite (e.g., culture positive)",Male only,Community,,,2004,2004,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis"
South Africa,South Africa,TB incidence,National,45,64,"40,166","3,061,433",0.0131,,"Definite (e.g., culture positive)",Male only,Community,,,2005,2005,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,TB incidence,National,65,100,"4,370","752,152",0.0058,,"Definite (e.g., culture positive)",Male only,Community,,,2005,2005,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
South Africa,South Africa,TB incidence,National,45,64,"44,507","3,147,596",0.0141,,"Definite (e.g., culture positive)",Male only,Community,,,2006,2006,"
?Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-12: a time series analysis
?"
